,Scenario,Time,Parameter,Metric,Units,Climate_Scenario,Climate_GCM,Management_Scenario,Disturbance_Scenario,Total_Scenario
1,bcc_LessHarvest_rep1,50, Aspen_Clearcut,13668.02,Biomass removed (g/m2),ClimateChange,bcc,LessHarvest,Wind_Harvest,bcc_LessHarvest
11,bcc_MoreHarvest_rep1,50, Aspen_Clearcut,19337.58,Biomass removed (g/m2),ClimateChange,bcc,MoreHarvest,Wind_Harvest,bcc_MoreHarvest
16,bcc_rep1,50, Aspen_Clearcut,22823.04,Biomass removed (g/m2),ClimateChange,bcc,BAU,Wind_Harvest,bcc_BAU
20,CCSM4_LessHarvest_rep1,50, Aspen_Clearcut,12153.24,Biomass removed (g/m2),ClimateChange,CCSM4,LessHarvest,Wind_Harvest,CCSM4_LessHarvest
25,CCSM4_MoreHarvest_rep1,50, Aspen_Clearcut,22085.38,Biomass removed (g/m2),ClimateChange,CCSM4,MoreHarvest,Wind_Harvest,CCSM4_MoreHarvest
36,CCSM4_rep1,50, Aspen_Clearcut,25584.1,Biomass removed (g/m2),ClimateChange,CCSM4,BAU,Wind_Harvest,CCSM4_BAU
38,CSIRO_LessHarvest_rep1,50, Aspen_Clearcut,12265.22,Biomass removed (g/m2),ClimateChange,CSIRO,LessHarvest,Wind_Harvest,CSIRO_LessHarvest
46,CSIRO_MoreHarvest_rep1,50, Aspen_Clearcut,21779.94,Biomass removed (g/m2),ClimateChange,CSIRO,MoreHarvest,Wind_Harvest,CSIRO_MoreHarvest
53,CSIRO_rep1,50, Aspen_Clearcut,20578.66,Biomass removed (g/m2),ClimateChange,CSIRO,BAU,Wind_Harvest,CSIRO_BAU
58,HAD_GEM2_LessHarvest_rep1,50, Aspen_Clearcut,11926.68,Biomass removed (g/m2),ClimateChange,HAD_GEM2,LessHarvest,Wind_Harvest,HAD_GEM2_LessHarvest
64,HAD_GEM2_MoreHarvest_rep1,50, Aspen_Clearcut,23132.28,Biomass removed (g/m2),ClimateChange,HAD_GEM2,MoreHarvest,Wind_Harvest,HAD_GEM2_MoreHarvest
72,HAD_GEM2_rep1,50, Aspen_Clearcut,19775.08,Biomass removed (g/m2),ClimateChange,HAD_GEM2,BAU,Wind_Harvest,HAD_GEM2_BAU
78,Historical_LessHarvest_rep1,50, Aspen_Clearcut,15371.24,Biomass removed (g/m2),Historical,Historical,LessHarvest,Wind_Harvest,Historical_LessHarvest
82,Historical_MoreHarvest_rep1,50, Aspen_Clearcut,22529,Biomass removed (g/m2),Historical,Historical,MoreHarvest,Wind_Harvest,Historical_MoreHarvest
88,Historical_rep1,50, Aspen_Clearcut,22118.62,Biomass removed (g/m2),Historical,Historical,BAU,Wind_Harvest,Historical_BAU
92,MIROC-ESM_rep1,50, Aspen_Clearcut,24023.84,Biomass removed (g/m2),ClimateChange,MIROC-ESM,BAU,Wind_Harvest,MIROC-ESM_BAU
102,MIROC_LessHarvest_rep1,50, Aspen_Clearcut,12629.68,Biomass removed (g/m2),ClimateChange,MIROC-ESM,LessHarvest,Wind_Harvest,MIROC-ESM_LessHarvest
